model,MAE,RMSE,MAPE (%),Forecast Accuracy (%),store_id
Naive,254.313,324.758,13.24,86.76,3
Seasonal Naive,258.562,332.21,13.51,86.49,3
Moving Average (7d),253.544,324.028,13.2,86.8,3
SARIMA,259.416,309.712,14.9,85.1,3
Exponential Smoothing,278.567,329.418,16.4,83.6,3
Naive,257.313,324.792,13.48,86.52,5
Seasonal Naive,364.141,438.732,20.44,79.56,5
Moving Average (7d),228.934,286.687,12.58,87.42,5
SARIMA,258.024,324.183,15.72,84.28,5
Exponential Smoothing,216.932,277.726,11.94,88.06,5
Naive,539.166,612.466,26.68,73.32,8
Seasonal Naive,494.373,590.391,24.51,75.49,8
Moving Average (7d),485.853,563.275,23.89,76.11,8
SARIMA,523.002,598.798,25.85,74.15,8
Exponential Smoothing,478.427,558.177,23.53,76.47,8
Gradient Boosting,242.808,327.738,12.62,87.38,ALL
